id,title_ru,longitude,latitude,created_at,updated_at,country_id,title_kz
5,Актобе,57.2297,50.2836,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Ақтөбе
6,Аркалык,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Арқалық
7,Атырау,51.8833,47.1167,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Атырау
8,Бишкек,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Бішкек
9,Жанаозен,52.8553,43.3378,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Жаңаөзен
10,Жезказган,67.7,47.7833,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Жезқазған
11,Караганда,73.1056,49.8028,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қарағанды
12,Каскелен,76.62,43.2,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қаскелең
13,Кокшетау,69.3833,53.2833,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Көкшетау
14,Кызылорда,65.5167,44.85,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қызылорда
15,Кунаев,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қонаев
16,Макинск,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Макинск
17,Павлодар,76.95,52.3,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Павлодар
18,Петропавловск,69.1667,54.8833,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Петропавл
19,Риддер,83.5167,50.35,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Риддер
20,Рудный,63.1333,52.9667,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Рудный
85,Жанарка,,,,,1,Жаңаарқа
21,Сатпаев,67.5333,47.9,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Сәтбаев
22,Семей,80.2667,50.4333,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Семей
23,Степногорск,71.89,52.3497,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Степногорск
24,Талдыкорган,78.3667,45.0167,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Талдықорған
25,Тараз,71.3667,42.9,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Тараз
26,Талгар,77.2333,43.3,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Талғар
27,Темиртау,72.95,50.05,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Теміртау
28,Туркестан,68.2692,43.3019,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Түркістан
29,Уральск,51.3725,51.2225,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Орал
30,Усть-Каменогорск,82.6167,49.9833,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Өскемен
31,Шымкент,69.5958,42.3167,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Шымкент
32,Экибастуз,75.3667,51.6667,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Екібастұз
33,Шу,73.7614,43.5983,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Шу
34,Шемонаиха,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Шемонаиха
35,Чунджа,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Шонжы
36,Хромтау,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Хромтау
37,Уштобе,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Үштөбе
38,Кентау,68.5167,43.5167,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Кентау
39,Сарань,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Сарань
40,Балхаш,74.995,46.8481,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Балқаш
41,Аягоз,80.4333,47.9667,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Аягөз
42,Зайсан,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Зайсан
43,Аксай,52.995,51.1678,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Ақсай
44,Косшы,,,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қосшы
45,Арыс,68.8,42.4333,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Арыс
46,Байконур,63.3167,45.6167,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Байқоңыр
47,Бейнеу,55.1958,45.3247,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Бейнеу
48,Есик,77.4667,43.35,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Есік
49,Жаркент,80,44.1667,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Жаркент
50,Жетысай,68.3272,40.7753,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Жетісай
51,Житикара,61.2011,52.1908,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Жітіқара
52,Зыряновск,84.2548,49.7453,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Алтай
53,Капчагай,77.0833,43.8833,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қапчағай
54,Капшагай,77.0687,43.8844,2025-07-29 13:45:33,2025-07-29 13:45:33,1,Қапшағай
