id,title,bin,lunch_duration_in_minutes,enabled,created_at,updated_at,work_scheme_id,client_type_id,responsible_manager_id,image,balance,rating,contract_number,contract_date,contract,director,city_id,address,phone,email,website,certificate_series,certificate_number,certificate_date,fines,nds,is_blocked,blocked_at,block_expires_at,work_schema,partner_id,commission,image_disk,contract_disk
478,ТОО Охотская,24040027163,"0","0",2026-03-24 19:08:00,2026-03-24 19:08:00,,,3531,,"0",,83-26,2026-03-24,companies/contracts/edQBRUKkRQKECwh6ATc91G6LGg5Vzh677eBu0bWt.pdf,Киярман М,11,Улица Мельничная 24а,7011211534,,,,,,,"0",,,,agent,11,"0",,
475,ТОО ТОРГОВЫЙ ДОМ ОРДАБАСЫ - КУС АЛМАТЫ,200740021435,"0","0",2026-03-03 16:13:00,2026-03-03 16:20:39,,,3531,companies/XtOT0Wk42bOl6d437TGSWoRmvSbDC85JFCuibz6J.png,"0",,75-26,2026-02-25,companies/contracts/Z4utvRYT5hC2Gi0xH4eNSTIxuP5Vq3NC5bbXN4EW.pdf,Терещенко Елена Сергеевна,2,Мауленова 92,1212121212,,,,,,,"0",,,,service_tariff,3,"0",,
476,ИП SE GROUP,941221350690,"0","0",2026-03-03 17:47:39,2026-03-03 17:47:39,,,3531,,"0",,1111,1111-11-11,companies/contracts/MGIgN2kBoSrqpTD6L6V4QMWOLWe3WigLNNszpYNJ.pdf,Сембиев Е,29,"г. Уральск мкрн 4, дом 19, офис 70",7011211534,,,,,,,"0",,,,service_tariff,2,"0",,
480,ТОО АЛТЫН САМРУК,"070740001719","0","0",2026-03-27 18:20:53,2026-03-27 18:20:53,,,3531,,"0",,№55-26,2026-02-03,companies/contracts/NVpVLvvL4hBPV0NfdqOXNw78lK73eLUpdHNpnK85.pdf,Колесникова И А,2,"г. Алматы, ул. Жаркова 280В",7056260577,,,,,,,"0",,,,service_tariff,11,"0",,
481,ТОО ПРИМА ДИСТРИБЬЮШН В ГОРОДЕ АКТАУ,"090441014203","0","0",2026-04-01 09:37:26,2026-04-01 09:37:26,,,3531,,"0",,1111,1111-11-11,companies/contracts/kmI1ZPOc3XdtrZ4f3wKj3c7kRzQ81y4DYDEWZbWx.pdf,АХМЕТЖАНОВ Р Т,4,Г. АКТАУ ПРОМЫШЛЕННАЯ ЗОНА,7778700173,,,,,,,"0",,,,service_tariff,6,"0",,
64,Тестовая компания,124578985645,"0","0",2025-07-29 16:30:47,2026-03-03 16:58:26,,,1129,companies/HAz9oXZaNCFZicFTGyH9CcHgm1MnDWcl7Kt6FSlF.png,"0",,12123132515,2025-06-30,companies/contracts/EszMZtVrpPflfzufYlZUOBqWnKNNhTNQdlzpR8LW.docx,Тестовый руководитель,2,Гагарина 75,7076840363,,,,,,,"0",,,,agent,1,10,,
127,ТОО ALUMINIUM OF KAZAKHSTAN (АЛЮМИНИУМ ОФ КАЗАХСТАН),130440011868,"0","0",,2026-04-02 09:38:11,,,3531,,"0",,1111,1111-11-11,companies/contracts/0PvsfN3EkvDBl35OZGJNAff0qgUyUTmwNovn0dH7.pdf,Азизов Б Б,2,"Алматинская область, Илийский район, Ащибулакский сельский округ, с. М. Туймебаев, уч. 177",7056260577,,,,,,,"0",,,,service_tariff,2,1,,
66,ТОО JANA POST,230340044188,"0","0",,2026-02-27 12:03:37,,,3531,,"0",,123123,2026-02-27,companies/contracts/UEOwnzIgCTKq3s4MXMgAolbl47SyqaSWxYpi6k11.png,ewrwer wqeqw,7,St. Kazhymukana 12A,1231312412,,,,,,,"0",,,,agent,2,"0",,
119,ТОО 12 МЕСЯЦЕВ - АСТАНА,"090940000711","0","0",,,,,,,"0",,,,,,,,,,,,,,,,,,,,2,"0",,
149,ТОО TRADE RETAIL GROUP,220440022634,"0","0",,,,,,,"0",,,,,,2,,,,,,,,,,,,,,2,"0",,
