id,vacancy_id,status,date,total_employee_count,start_time,end_time,luvr,notify_send_time
26,14,6,2025-08-15,6,"09:00:00",,,
27,14,6,2025-08-18,6,"09:00:00",,,
28,14,6,2025-08-19,6,"09:00:00",,,
29,14,6,2025-08-20,6,"09:00:00",,,
30,14,6,2025-08-21,6,"09:00:00",,,
31,14,6,2025-08-22,6,"09:00:00",,,
32,14,6,2025-08-25,6,"09:00:00",,,
33,14,6,2025-08-26,6,"09:00:00",,,
34,14,6,2025-08-27,6,"09:00:00",,,
35,14,6,2025-08-28,6,"09:00:00",,,
36,14,6,2025-08-29,6,"09:00:00",,,
110,23,5,2025-08-31,1,"08:00:00",,shift/luvr/SMJd0HT6hTXSvNCoBS0Cv0SBigTYnIoxFPgcRzmL.jpg,
120,24,5,2025-08-31,1,"09:00:00",,shift/luvr/BUmhL4qG5Y2XWyQsxce04U3ImDstGWyWn5cHdKfR.jpg,
80,19,5,2025-08-30,8,"08:00:00",,shift/luvr/SvnHS4zkWgbxndALuEaYCPBKuAvMq9HOsrnrVtf0.jpg,
48,15,5,2025-08-29,6,"09:00:00",,shift/luvr/kiT9hTQdz2HnDocLi7M4jRrLESDw6QbMZMkIoZB2.png,
61,17,5,2025-08-29,1,"08:00:00",,shift/luvr/Bc83BdNUw0nUGDkQLdbnhhk3PEzML0NxQ10APiDG.jpg,
49,16,6,2025-08-14,1,"09:00:00",,,
99,22,5,2025-08-29,1,"09:00:00",,shift/luvr/XEg5TrtEqb5AhhSe1TDh0RA7ELs1yuKGC8VmrFPe.jpg,
78,19,5,2025-08-28,8,"08:00:00",,shift/luvr/LBaTE5EpMaHobHQghJK1LA671HvBhAEjPFk4lSF9.jpg,
1508,132,6,2025-10-09,1,"08:00:00",,,
25,14,6,2025-08-14,6,"09:00:00",,shift/luvr/wbh3LmpJ1gcZlcWj3flNW2jBiZBnFj93ncTiA4mR.png,
62,18,6,2025-08-14,1,"09:00:00",,,
63,18,6,2025-08-14,1,"09:00:00",,,
